veteran n.老兵，老手
vex vt.使烦恼，使恼火
vibrate vt.使颤动vi.颤动
vibration n.颤动，振动；摆动
vice n.罪恶；恶习；缺点
victorious a.胜利的，得胜的
vigorous a.朝气蓬勃的
vinegar n.醋
virtually ad.实际上，事实上
vital a.生命的；有生命力的
volcano n.火山
voyage n.&vi.航海，航空
wage n.工资，报酬
waggon n.四轮运货马车
waist n.腰，腰部
wander vi.漫游；迷路；离题
waterfall n.瀑布
waterproof a.不透水的，防水的
wavelength n.波长
wax n.蜡，蜂蜡
whilst conj.&n.当…的时候
whip vt.鞭笞；搅打n.鞭子
whirl vt.使回旋vi.&n.回旋
 whisper vt.低声地讲vi.低语
whitewash vt.粉刷，涂白
widespread a.分布广的，普遍的
worm n.虫，蠕虫
 worship n.礼拜；崇拜vt.崇拜
worthless a.无价值的，无用的
wreath n.花环，花圈，花冠
wreck n.失事；残骸vt.破坏
yield vt.&vi.出产n.产量
 zeal n.热心，热情，热忱
zealous a.热心的，热情的
